nome_instancia,nome_algoritmo,caminho_solucao,custo_solucao,profundidade_solucao,tempo_execucao_segundos,nos_visitados,nos_explorados,fator_medio_ramificacao
regua_puzzle_006,Depth-First Search,B-ABB -> BBA-B -> BBAB- -> BB-BA,5.0,3,0.000032,7,3,2.000000
regua_puzzle_006,Ordered Search,B-ABB -> BBA-B -> BB-AB -> BBBA-,5.0,3,0.000036,9,3,2.666667
regua_puzzle_006,Greedy Search,B-ABB -> BBA-B -> BB-AB -> BBBA-,5.0,3,0.000018,9,3,2.666667
regua_puzzle_006,A* Search,B-ABB -> BBA-B -> BB-AB -> BBBA-,5.0,3,0.000040,14,7,1.857143
regua_puzzle_006,IDA* Search,B-ABB -> BBA-B -> BB-AB -> BBBA-,5.0,3,0.000100,49,21,2.142857
regua_puzzle_007,Backtracking,AAA-BBB -> AA-ABBB -> AABA-BB -> AAB-ABB -> AA-BABB -> A-ABABB -> ABA-ABB -> AB-AABB -> A-BAABB -> -ABAABB -> BA-AABB -> B-AAABB -> BAA-ABB -> BAAA-BB -> BAAAB-B -> BAA-BAB -> BA-ABAB -> B-AABAB -> -BAABAB -> AB-ABAB -> ABA-BAB -> ABAB-AB -> ABABA-B -> ABABAB- -> ABAB-BA -> ABA-BBA -> AB-ABBA -> A-BABBA -> -ABABBA -> BA-ABBA -> B-AABBA -> BAA-BBA -> BAAB-BA -> BAABB-A -> BAABBA- -> BAAB-AB -> BA-BAAB -> B-ABAAB -> -BABAAB -> AB-BAAB -> A-BBAAB -> ABB-AAB -> ABBA-AB -> ABBAA-B -> ABBAAB- -> ABBA-BA -> ABB-ABA -> AB-BABA -> A-BBABA -> -ABBABA -> BA-BABA -> B-ABABA -> BBA-ABA -> BB-AABA -> B-BAABA -> BAB-ABA -> BABA-BA -> BABAB-A -> BABABA- -> BABA-AB -> BAB-AAB -> B-BAAAB -> -BBAAAB -> BB-AAAB -> BBA-AAB -> BBAA-AB -> BBAAA-B -> BBAAAB- -> BBAA-BA -> BBAAB-A -> BBA-BAA -> BB-ABAA -> BBBA-AA,95.0,72,0.000471,103,87,1.172414
regua_puzzle_007,Breadth-First Search,AAA-BBB -> AA-ABBB -> AABA-BB -> AABAB-B -> AAB-BAB -> A-BABAB -> -ABABAB -> BA-ABAB -> BABA-AB -> BABABA- -> BABAB-A -> BAB-BAA -> B-BABAA -> BB-ABAA -> BBBA-AA,23.0,14,0.000616,135,82,1.634146
regua_puzzle_007,Depth-First Search,AAA-BBB -> AAAB-BB -> AA-BABB -> AAB-ABB -> AABBA-B -> AABBAB- -> AABB-BA -> AAB-BBA -> A-BABBA -> AB-ABBA -> ABBA-BA -> ABBAAB- -> ABBAA-B -> ABBA-AB -> AB-ABAB -> ABA-BAB -> ABAAB-B -> ABAA-BB -> ABA-ABB -> ABABA-B -> ABABAB- -> ABAB-BA -> AB-BABA -> A-BBABA -> -ABBABA -> BA-BABA -> BAAB-BA -> BAABAB- -> BAABA-B -> BAAB-AB -> BAA-BAB -> BA-ABAB -> BABA-AB -> BABABA- -> BABAB-A -> BAB-BAA -> BA-BBAA -> B-ABBAA -> BBA-BAA -> BBAB-AA -> BB-BAAA,59.0,40,0.000373,122,64,1.890625
regua_puzzle_007,Ordered Search,AAA-BBB -> AA-ABBB -> AABA-BB -> AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAAB-AB -> BA-BAAB -> B-ABAAB -> BBA-AAB -> BBAA-AB -> BBAABA- -> BBAAB-A -> BBA-BAA -> BB-ABAA -> BBBA-AA,27.0,18,0.000111,49,23,2.086957
regua_puzzle_007,Greedy Search,AAA-BBB -> AA-ABBB -> AABA-BB -> AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAAB-AB -> BA-BAAB -> B-ABAAB -> BBA-AAB -> BBAA-AB -> BBAABA- -> BBAAB-A -> BBA-BAA -> BB-ABAA -> BBBA-AA,27.0,18,0.000106,49,23,2.086957
regua_puzzle_007,A* Search,AAA-BBB -> AA-ABBB -> AABA-BB -> AABAB-B -> AAB-BAB -> A-BABAB -> -ABABAB -> BA-ABAB -> BABA-AB -> BABABA- -> BABAB-A -> BAB-BAA -> B-BABAA -> BB-ABAA -> BBBA-AA,23.0,14,0.000510,135,81,1.654321
regua_puzzle_007,IDA* Search,AAA-BBB -> AA-ABBB -> AABA-BB -> AABAB-B -> AAB-BAB -> A-BABAB -> -ABABAB -> BA-ABAB -> BABA-AB -> BABABA- -> BABAB-A -> BAB-BAA -> B-BABAA -> BB-ABAA -> BBBA-AA,23.0,14,0.092605,36207,16887,2.143187
regua_puzzle_008,Backtracking,AAB-ABB -> AA-BABB -> A-ABABB -> ABA-ABB -> AB-AABB -> A-BAABB -> -ABAABB -> BA-AABB -> B-AAABB -> BAA-ABB -> BAAA-BB -> BAAAB-B -> BAA-BAB -> BAAB-AB -> BAABA-B -> BAABAB- -> BAAB-BA -> BAA-BBA -> BA-ABBA -> B-AABBA -> -BAABBA -> AB-ABBA -> A-BABBA -> AAB-BBA -> AA-BBBA -> A-ABBBA -> ABA-BBA -> ABAB-BA -> ABABB-A -> ABABBA- -> ABAB-AB -> ABA-BAB -> AB-ABAB -> A-BABAB -> -ABABAB -> BA-ABAB -> BABA-AB -> BAB-AAB -> BA-BAAB -> B-ABAAB -> -BABAAB -> AB-BAAB -> A-BBAAB -> ABB-AAB -> ABBA-AB -> ABBAA-B -> ABBAAB- -> ABBA-BA -> ABBAB-A -> ABB-BAA -> AB-BBAA -> A-BBBAA -> -ABBBAA -> BA-BBAA -> BAB-BAA -> BABB-AA -> BABBA-A -> BAB-ABA -> BA-BABA -> B-ABABA -> BBA-ABA -> BB-AABA -> BBAA-BA -> BBAAB-A -> BBA-BAA -> BBAB-AA -> BB-BAAA,87.0,66,0.000458,97,81,1.185185
regua_puzzle_008,Breadth-First Search,AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAABAB- -> BAAB-BA -> BA-BABA -> B-ABABA -> BBA-ABA -> BBABA-A -> BBAB-AA -> BB-BAAA,21.0,13,0.000417,135,81,1.654321
regua_puzzle_008,Depth-First Search,AAB-ABB -> AABBA-B -> AABBAB- -> AABB-BA -> AAB-BBA -> A-BABBA -> AB-ABBA -> ABBA-BA -> ABBAAB- -> ABBAA-B -> ABBA-AB -> AB-ABAB -> ABA-BAB -> ABAAB-B -> ABAA-BB -> ABA-ABB -> ABABA-B -> ABABAB- -> ABAB-BA -> AB-BABA -> A-BBABA -> -ABBABA -> BA-BABA -> BAAB-BA -> BAABAB- -> BAABA-B -> BAAB-AB -> BAA-BAB -> BA-ABAB -> BABA-AB -> BABABA- -> BABAB-A -> BAB-BAA -> BA-BBAA -> B-ABBAA -> BBA-BAA -> BBAB-AA -> BB-BAAA,55.0,37,0.000359,115,60,1.900000
regua_puzzle_008,Ordered Search,AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAAB-AB -> BA-BAAB -> B-ABAAB -> BBA-AAB -> BBAA-AB -> BBAABA- -> BBAAB-A -> BBA-BAA -> BB-ABAA -> BBBA-AA,23.0,15,0.000096,41,19,2.105263
regua_puzzle_008,Greedy Search,AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAAB-AB -> BA-BAAB -> B-ABAAB -> BBA-AAB -> BBAA-AB -> BBAABA- -> BBAAB-A -> BBA-BAA -> BB-ABAA -> BBBA-AA,23.0,15,0.000090,41,19,2.105263
regua_puzzle_008,A* Search,AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAABAB- -> BAAB-BA -> BA-BABA -> B-ABABA -> BBA-ABA -> BBABA-A -> BBAB-AA -> BB-BAAA,21.0,13,0.000527,137,82,1.658537
regua_puzzle_008,IDA* Search,AAB-ABB -> A-BAABB -> -ABAABB -> BA-AABB -> BAA-ABB -> BAABA-B -> BAABAB- -> BAAB-BA -> BA-BABA -> B-ABABA -> BBA-ABA -> BBABA-A -> BBAB-AA -> BB-BAAA,21.0,13,0.066460,23984,11228,2.134841
